Stock_Code,Date,Mean_Sentiment_Score
DIVISLAB,11/8/2021,0.2997
DIVISLAB,11/25/2021,0.5994
DIVISLAB,11/26/2021,0.4019
DIVISLAB,12/1/2021,0.5994
DIVISLAB,12/7/2021,0.5994
DIVISLAB,12/8/2021,0.5994
DIVISLAB,12/10/2021,0.4019
DIVISLAB,12/14/2021,0.4019
DIVISLAB,12/22/2021,0.5994
DIVISLAB,12/23/2021,0.5994
DIVISLAB,1/10/2022,0.5994
DIVISLAB,1/20/2022,0.4019
DIVISLAB,2/3/2022,0.4019
DIVISLAB,2/8/2022,0.5994
DIVISLAB,2/11/2022,0.59715
DIVISLAB,2/14/2022,0.4019
DIVISLAB,2/16/2022,0.4019
DIVISLAB,2/18/2022,0.29945
DIVISLAB,2/21/2022,0.128
DIVISLAB,3/23/2022,0.4019
DIVISLAB,3/31/2022,0.4019
DIVISLAB,4/7/2022,0.4019
DIVISLAB,5/6/2022,0.4019
DIVISLAB,5/23/2022,0.4019
DIVISLAB,5/24/2022,0.4019
DIVISLAB,5/26/2022,0.5994
DIVISLAB,7/13/2022,0.4019
DIVISLAB,7/27/2022,0.2023
EICHERMOT,2/11/2022,0
EICHERMOT,2/14/2022,0
EICHERMOT,2/15/2022,0.2997
EICHERMOT,2/22/2022,-0.6249
EICHERMOT,3/2/2022,0
EICHERMOT,3/3/2022,0.128
EICHERMOT,3/17/2022,0.4767
EICHERMOT,3/22/2022,0
EICHERMOT,3/25/2022,-0.204
EICHERMOT,3/28/2022,0.5574
EICHERMOT,3/29/2022,0.472333333
EICHERMOT,4/5/2022,0.3862
EICHERMOT,4/20/2022,0.0258
EICHERMOT,4/21/2022,0.41285
EICHERMOT,4/22/2022,0.4215
EICHERMOT,5/2/2022,0.4019
EICHERMOT,5/13/2022,0
EICHERMOT,5/16/2022,0.344266667
EICHERMOT,5/19/2022,0.4939
EICHERMOT,6/1/2022,0.3546
EICHERMOT,6/15/2022,0
EICHERMOT,6/17/2022,0.296
EICHERMOT,6/23/2022,0.5994
EICHERMOT,6/26/2022,0.296
EICHERMOT,6/27/2022,0.50065
EICHERMOT,6/28/2022,0.6808
EICHERMOT,6/30/2022,0.4019
EICHERMOT,7/1/2022,0
EICHERMOT,7/4/2022,0
EICHERMOT,7/6/2022,0
EICHERMOT,7/10/2022,0.4019
