Date,stock_code,Sentiment_Score
7/27/2022,M&M,0.2
7/27/2022,M&M,-0.060606061
7/27/2022,M&M,0.06
7/27/2022,M&M,0
7/27/2022,M&M,0
7/27/2022,M&M,-0.104166667
7/27/2022,M&M,0.3375
7/27/2022,M&M,0.7
7/27/2022,M&M,0.261262626
7/27/2022,M&M,0
7/27/2022,M&M,0.2
7/27/2022,M&M,0.088095238
7/27/2022,M&M,0.108333333
7/27/2022,M&M,0.125
7/27/2022,M&M,-0.122222222
7/27/2022,M&M,-0.077777778
7/27/2022,M&M,0.5
7/27/2022,M&M,-0.077777778
7/27/2022,M&M,0.08
7/27/2022,M&M,0.003787879
7/27/2022,M&M,0.15
7/27/2022,M&M,-0.175
7/27/2022,M&M,-0.166666667
7/27/2022,M&M,0.126666667
7/27/2022,M&M,0.5
7/27/2022,M&M,0.2
7/27/2022,M&M,0.21875
7/27/2022,M&M,0.002380952
7/27/2022,M&M,0.78125
7/27/2022,M&M,-0.2175
7/27/2022,M&M,0.088095238
7/27/2022,M&M,0.25
7/27/2022,M&M,0.088095238
7/27/2022,M&M,0
7/27/2022,M&M,0
7/27/2022,M&M,0.166666667
7/27/2022,M&M,0.062121212
7/27/2022,M&M,0.003787879
7/27/2022,M&M,0
7/27/2022,M&M,0.196875
7/27/2022,M&M,-0.066666667
7/27/2022,M&M,0
7/27/2022,M&M,0
7/27/2022,M&M,-0.2175
7/27/2022,M&M,-0.066666667
7/27/2022,M&M,0
7/27/2022,M&M,0.1
7/27/2022,M&M,-0.2175
7/27/2022,M&M,-0.078571429
7/27/2022,M&M,0
7/27/2022,M&M,-0.066666667
7/27/2022,M&M,-0.2175
7/27/2022,M&M,0.5
7/27/2022,M&M,0
7/27/2022,M&M,0.45
7/27/2022,MARUTI,-0.033333333
7/27/2022,MARUTI,0.022857143
7/27/2022,MARUTI,0.015625
7/27/2022,MARUTI,-0.083333333
7/27/2022,MARUTI,0.08
7/27/2022,MARUTI,0
7/27/2022,MARUTI,0
7/27/2022,MARUTI,-0.155555556
7/27/2022,MARUTI,0
7/27/2022,MARUTI,-0.155555556
7/27/2022,MARUTI,0
7/27/2022,MARUTI,0
7/27/2022,MARUTI,-0.155555556
7/27/2022,MARUTI,-0.155555556
7/27/2022,MARUTI,0.022222222
7/27/2022,MARUTI,-0.155555556
7/27/2022,MARUTI,-0.155555556
7/27/2022,MARUTI,0.7
7/27/2022,MARUTI,0.7
7/27/2022,MARUTI,0.211111111
7/27/2022,MARUTI,-0.05
7/27/2022,MARUTI,0
7/27/2022,MARUTI,-0.05
7/27/2022,MARUTI,-0.1
7/27/2022,MARUTI,0
7/27/2022,MARUTI,0
7/27/2022,MARUTI,0.068181818
7/27/2022,MARUTI,-0.16875
7/27/2022,MARUTI,0.13125
7/27/2022,MARUTI,0.386111111
7/27/2022,MARUTI,-0.52
7/27/2022,MARUTI,-0.01
7/27/2022,MARUTI,0.136363636
7/27/2022,MARUTI,0.136363636
7/27/2022,MARUTI,0.08
7/27/2022,NESTLEIND,0.08
7/27/2022,NESTLEIND,0
7/27/2022,NESTLEIND,0.033333333
7/27/2022,NESTLEIND,0.08
7/27/2022,NESTLEIND,0
7/27/2022,NTPC,0.08
7/27/2022,NTPC,0.015625
7/27/2022,NTPC,-0.16875
7/27/2022,NTPC,0
7/27/2022,NTPC,0.08
7/27/2022,NTPC,0
7/27/2022,NTPC,0.015625
7/27/2022,ONGC,0
7/27/2022,ONGC,0.08
7/27/2022,ONGC,0
7/27/2022,ONGC,0
7/27/2022,ONGC,0
7/27/2022,ONGC,0
7/27/2022,ONGC,0
7/27/2022,ONGC,-0.036931818
7/27/2022,ONGC,0.015625
7/27/2022,ONGC,0.015625
7/27/2022,ONGC,0
7/27/2022,POWERGRID,0
7/27/2022,POWERGRID,0.165151515
7/27/2022,POWERGRID,0.08
7/27/2022,POWERGRID,0.015625
7/27/2022,POWERGRID,0
7/27/2022,POWERGRID,-0.16875
7/27/2022,RELIANCE,0.015625
7/27/2022,RELIANCE,0
7/27/2022,RELIANCE,0
7/27/2022,RELIANCE,0.283333333
7/27/2022,RELIANCE,0
7/27/2022,RELIANCE,0.015625
7/27/2022,RELIANCE,-0.091666667
7/27/2022,RELIANCE,-0.091666667
7/27/2022,RELIANCE,0
7/27/2022,RELIANCE,-0.091666667
7/27/2022,RELIANCE,-0.091666667
7/27/2022,RELIANCE,-0.16875
7/27/2022,RELIANCE,0
7/27/2022,RELIANCE,0
7/27/2022,RELIANCE,0
7/27/2022,RELIANCE,0
7/27/2022,RELIANCE,0
7/27/2022,RELIANCE,0.08
7/27/2022,RELIANCE,-0.16875
7/27/2022,RELIANCE,-0.16875
7/27/2022,RELIANCE,0.5
7/27/2022,RELIANCE,0
7/27/2022,SBILIFE,0.015625
7/27/2022,SBILIFE,0
7/27/2022,SBILIFE,-0.036931818
7/27/2022,SBILIFE,-0.036931818
7/27/2022,SBILIFE,0.08
7/27/2022,SBILIFE,0
7/27/2022,SBILIFE,-0.16875
7/27/2022,SBIN,0
7/27/2022,SBIN,0.7
7/27/2022,SBIN,0.28
7/27/2022,SBIN,0.165151515
7/27/2022,SBIN,0.165151515
7/27/2022,SBIN,0.08
7/27/2022,SBIN,0
7/27/2022,SBIN,0
7/27/2022,SHREECEM,0.022857143
7/27/2022,SHREECEM,0
7/27/2022,SHREECEM,0
7/27/2022,SHREECEM,0
7/27/2022,SHREECEM,0.015625
7/27/2022,SHREECEM,0.08
7/27/2022,SHREECEM,0.08
7/27/2022,SHREECEM,0
7/27/2022,SHREECEM,0
7/27/2022,SHREECEM,0.165151515
7/27/2022,SUNPHARMA,0
7/27/2022,SUNPHARMA,0
7/27/2022,SUNPHARMA,0.08
7/27/2022,SUNPHARMA,0.165151515
7/27/2022,SUNPHARMA,0.015625
7/27/2022,SUNPHARMA,0.033333333
7/27/2022,TATACONSUM,0.08
7/27/2022,TATACONSUM,-0.036931818
7/27/2022,TATACONSUM,0.015625
7/27/2022,TATACONSUM,0
7/27/2022,TATACONSUM,0.033333333
7/27/2022,TATAMOTORS,0
7/27/2022,TATAMOTORS,0
7/27/2022,TATAMOTORS,-0.034848485
7/27/2022,TATAMOTORS,0.015625
7/27/2022,TATAMOTORS,0
7/27/2022,TATAMOTORS,0.5
7/27/2022,TATAMOTORS,0.5
7/27/2022,TATAMOTORS,0
7/27/2022,TATAMOTORS,0.5
7/27/2022,TATAMOTORS,-0.7
7/27/2022,TATAMOTORS,0.5
7/27/2022,TATAMOTORS,-0.2
7/27/2022,TATAMOTORS,0
7/27/2022,TATAMOTORS,0.25
7/27/2022,TATAMOTORS,0
7/27/2022,TATAMOTORS,-0.036931818
7/27/2022,TATAMOTORS,0.08
7/27/2022,TATAMOTORS,0.015625
7/27/2022,TATAMOTORS,0
7/27/2022,TATAMOTORS,0
7/27/2022,TATAMOTORS,0.033333333
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.015625
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.1
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,-0.083333333
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.08
7/27/2022,TATASTEEL,0.057407407
7/27/2022,TATASTEEL,0.057407407
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.03125
7/27/2022,TATASTEEL,0.015625
7/27/2022,TATASTEEL,0.166545455
7/27/2022,TATASTEEL,0
7/27/2022,TATASTEEL,-0.083333333
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.391666667
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,-0.008333333
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.165151515
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,0.2
7/27/2022,TATASTEEL,-0.083333333
7/27/2022,TATASTEEL,-0.083333333
7/27/2022,TATASTEEL,0
7/27/2022,TATASTEEL,0.4
7/27/2022,TATASTEEL,-0.083333333
7/27/2022,TATASTEEL,-0.083333333
7/27/2022,TATASTEEL,0.015625
7/27/2022,TATASTEEL,-0.071428571
7/27/2022,TATASTEEL,0
7/27/2022,TATASTEEL,0
7/27/2022,TATASTEEL,0.03125
7/27/2022,TATASTEEL,-0.083333333
7/27/2022,TATASTEEL,0.25
7/27/2022,TATASTEEL,-0.083333333
7/27/2022,TATASTEEL,0.165151515
7/27/2022,TATASTEEL,0
7/27/2022,TATASTEEL,0.25
7/27/2022,TCS,0.253125
7/27/2022,TCS,-1
7/27/2022,TCS,-0.7
7/27/2022,TCS,0
7/27/2022,TCS,0.4
7/27/2022,TCS,0.4
7/27/2022,TCS,-0.29
7/27/2022,TCS,0.136363636
7/27/2022,TCS,0.136363636
7/27/2022,TCS,-0.083333333
7/27/2022,TCS,0.136363636
7/27/2022,TCS,0.7
7/27/2022,TCS,0.291666667
7/27/2022,TCS,0.165151515
7/27/2022,TCS,0.015625
7/27/2022,TCS,1
